courseid,coursecode,coursename,hoursperweek,numcredits,islab
1,UEHS2242,Applications of Psychology in everyday life,4,4,0
2,UHS2241,Human Relations at Work,4,4,0
3,UHS2243,Film Appreciation,4,4,0
4,UEN2241,Language and Communication,4,4,0
